ID	chrom	loc.start	loc.end	num.mark	seg.mean	seg.med	probes.Sd	estimCopy
N08267B	1	888659	19772363	3618	0.1043	0.1526	0.769788034207837	2
N08267B	1	19772847	81930211	14421	-0.0429	0.0018	0.764643445503847	2
N08267B	1	81932589	152217226	10921	-0.2158	-0.187905622282589	0.750192769679609	2
N08267B	1	152217443	170206466	4808	0.0451	0.0018	0.75182167376956	2
N08267B	1	170206902	170230322	11	-1.5228	-1.32883717436172	1.8936717561697	1
N08267B	1	170237066	249198692	21974	0.1	0.1526	0.750178245697282	2
N08267B	2	15703	6631061	2005	0.1825	0.1526	0.744590271737829	2
N08267B	2	6631800	242775910	59864	-0.0088	0.0018	0.771520846914301	2
N08267B	3	62614	197851260	51885	-0.0195	0.0018	0.770480352757872	2
N08267B	4	68911	1683608	247	-0.5678	-0.4367	1.4270842997029	2
N08267B	4	1683966	190921709	48954	0.0051	0.0018	0.766860274769427	2
N08267B	5	113577	28478564	7998	0.1107	0.1526	0.759055775380114	2
N08267B	5	28478733	180692321	38162	-0.0355	0.0018	0.766298296526469	2
N08267B	6	184719	170908114	51732	-0.0244	0.0018	0.760504769710515	2
N08267B	7	44167	153167347	43955	0.003	0.0018	0.75478293503515	2
N08267B	7	153170494	159119220	2044	0.1719	0.1526	0.720796499522353	2
N08267B	8	168484	4102729	1932	-0.4367	-0.4367	0.768322236673889	2
N08267B	8	4103027	36059320	10327	-0.6273	-0.601492705892484	0.792261381457644	1
N08267B	8	36077059	49528165	1967	-0.3715	-0.4367	0.850149462533223	2
N08267B	8	49529945	137818388	22495	-0.008	0.0018	0.758300189761916	2
N08267B	8	137821085	137862435	16	-1.568	-2.167	2.00489462221013	1
N08267B	8	137862600	146292734	1939	0.1138	0.1526	0.815625308154863	2
N08267B	9	208549	128899980	28547	0.0519	0.0018	0.763320741653071	2
N08267B	9	128901236	141011581	1981	0.2204	0.1526	0.744652672964049	2
N08267B	10	104427	128165461	33207	0.0166	0.0018	0.786211750780906	2
N08267B	10	128178889	135426536	2026	0.2067	0.1526	0.758325140730733	2
N08267B	11	230751	129832571	36260	0.0051	0.0018	0.756589138776205	2
N08267B	11	129833783	134938470	1964	0.1526	0.1526	0.754870259474262	2
N08267B	12	180185	33293907	9013	-0.0328	0.0018	0.791402222190585	2
N08267B	12	33302132	133777562	24050	-0.0431	0.0018	0.774547214984639	2
N08267B	13	19450806	58047976	10693	-2.2087	-2.167	0.905248149726575	1
N08267B	13	58049913	73835672	4211	-1.9672	-2.167	0.832029183128086	1
N08267B	13	73836097	81134280	2196	-2.286	-2.167	0.909307574870745	1
N08267B	13	81136354	89316456	2054	-1.9093	-2.167	0.834116727579606	1
N08267B	13	89317062	115095705	8526	-2.167	-2.167	0.891726080847218	1
N08267B	14	20511673	31784453	3510	0.4036	0.484596882355349	0.913288343727887	3
N08267B	14	31796875	33478505	543	-1.7526	-2.167	1.25854982201537	1
N08267B	14	33480282	107285437	22645	-2.2032	-2.167	0.892789103698258	1
N08267B	15	22809980	35624317	4121	0.1133	0.1526	0.744541455722477	2
N08267B	15	35624815	102429049	20705	-0.032	0.0018	0.752788166315287	2
N08267B	16	89561	90146366	20654	0.0169	0.0018	0.776600828877269	2
N08267B	17	18901	9012701	1972	-0.0065	0.0018	0.840306761757022	2
N08267B	17	9013018	14303548	1796	0.1842	0.1526	0.757527395491549	2
N08267B	17	14303973	81041938	13494	0.0018	0.0018	0.802075255243309	2
N08267B	18	136305	71573302	18565	0.0115	0.0018	0.77939779113436	2
N08267B	18	71573764	78010194	2009	0.1592	0.1526	0.763838266215277	2
N08267B	19	260912	58956888	10268	0.0955	0.1526	0.778532231409368	2
N08267B	20	61795	62912463	16018	0.0277	0.0018	0.780228963057464	2
N08267B	21	15129378	48084820	10341	0.0122	0.0018	0.788259770790746	2
N08267B	22	16888900	44573542	6731	-1.1021	-1.0146	0.848031904910411	1
N08267B	22	44574404	51177928	1854	-0.9271	-1.0146	0.800726916916545	1
N08267B	23	169805	155233098	22073	-2.5307	-2.167	0.932589428870147	1
