ID	chrom	loc.start	loc.end	num.mark	seg.mean	seg.med	probes.Sd	estimCopy
N08158	1	564621	14406741	3608	0.0137	-0.0162	0.965968771923028	2
N08158	1	14408015	15507320	515	-0.735	-0.6872	1.16520614204339	1
N08158	1	15507952	15705031	96	0.2245	0.2245	1.04201172132192	2
N08158	1	15705072	16814994	217	-0.5701	-0.6872	1.20185302047367	1
N08158	1	16828502	21571131	1669	0.0319	-0.0162	0.957247310842035	2
N08158	1	21576796	29220969	1743	-1.2458	-1.25715	1.08071600513237	1
N08158	1	29223377	29280410	7	-4.0698	-5.2354	2.06663309541257	1
N08158	1	29281720	30361717	302	-1.3147	-1.25715	1.03143384358431	1
N08158	1	30365235	30893832	278	-0.6872	-0.6872	1.35249295236025	1
N08158	1	30894004	249198692	62789	-0.0481	-0.0162	0.917263003636041	2
N08158	2	15703	4372705	1674	0.2321	0.2245	0.814127151280702	2
N08158	2	4372803	243048760	72144	-0.0528	-0.0162	0.924023381464726	2
N08158	3	69244	197856433	60579	-0.0643	-0.0162	0.930733936157458	2
N08158	4	45410	36449901	12327	-1.6151	-1.56	0.970249258496272	1
N08158	4	36453520	36730581	92	-1.134	-1.25715	1.23806118299403	1
N08158	4	36731864	42330823	2005	-0.1891	-0.143078657640303	0.959141851649156	2
N08158	4	42331185	44663652	734	-0.9533	-0.93165	1.28453497861691	1
N08158	4	44665223	190921709	40750	-0.1205	-0.0162	0.912357751510021	2
N08158	5	36344	169002997	52311	0.9686	0.9912	0.947269490345082	4
N08158	5	169003808	173766430	2055	0.3548	0.36880431197018	1.09243404725119	3
N08158	5	173767349	180692833	1969	0.8621	0.7175	1.03429261278673	3
N08158	6	203249	170918031	56009	-0.0698	-0.0162	0.923873338675445	2
N08158	7	43259	159119220	46895	-0.0337	-0.0162	0.91732440089406	2
N08158	8	161222	99563035	33124	-0.0613	-0.0162	0.918360515120809	2
N08158	8	99568199	100992459	128	-0.91	-0.93165	1.06907563185258	1
N08158	8	100994389	124723780	7219	-0.0552	-0.0162	0.92481230847694	2
N08158	8	124724690	126361680	604	-0.4423	-0.6872	1.066555170587	1
N08158	8	126368375	128754871	1003	-1.2685	-1.25715	1.29391899711125	1
N08158	8	128762864	129805238	464	-0.4812	-0.6872	1.08126018148984	1
N08158	8	129805912	146293414	6024	0.0355	-0.0162	0.906744806879051	2
N08158	9	37747	141071475	41387	1.0077	0.9912	0.952526730293184	4
N08158	10	104427	135434551	48097	-0.0011	-0.0162	0.91463964744417	2
N08158	11	198510	134944770	44425	1.0001	0.9912	0.938276619834496	4
N08158	12	161382	133777645	42452	-0.0311	-0.0162	0.918351789492859	2
N08158	13	19045720	115106996	34060	0.9912	0.9912	0.94260219051097	4
N08158	14	20211644	107285437	28033	-0.0505	-0.0162	0.911050594185049	2
N08158	15	20071673	102400037	26014	0.9868	0.9912	0.947617637242737	4
N08158	16	86671	13874854	6362	-1.4885	-1.56	0.965132422809394	1
N08158	16	13875363	23588966	2129	1.1249	1.11166117793742	0.95512087883583	4
N08158	16	23601488	34410569	2112	2.2078	2.22412942234718	1.00706201418174	9
N08158	16	34410955	35092445	66	0.5729	0.7175	1.81303862037284	3
N08158	16	35111585	90163275	16898	-1.56	-1.56	0.974780568509046	1
N08158	17	6689	81049726	20579	0.0261	-0.0162	0.918481076735458	2
N08158	18	11543	78015057	26505	-0.0013	-0.0162	0.904689116294845	2
N08158	19	260912	22729582	3936	1.807	1.8179063588784	1.00638077117399	7
N08158	19	22729613	30799803	1378	1.3887	1.39770169346089	0.980735600480325	5
N08158	19	30806165	34907330	1272	1.8729	1.8798133130101	1.00241873006478	7
N08158	19	34920999	59095126	5274	1.1596	1.16115	1.01025202180693	5
N08158	20	61795	62912463	22820	0.0359	-0.0162	0.916795679472473	2
N08158	21	10913441	48084820	12527	0.0137	-0.0162	0.948391644279856	2
N08158	22	16055171	22380718	1367	0.0621	-0.0162	0.922775453671332	2
N08158	22	22380743	23251602	221	-0.8787	-0.6872	1.97244785157597	1
N08158	22	23255556	51219006	9836	0.0792	-0.0162	0.959190885803413	2
N08158	23	152439	90139235	20426	0.1448	0.2245	0.915140918406963	2
N08158	23	90143888	154925045	16332	1.1627	1.16115	0.933926322722526	5
N08158	24	2722506	6608568	115	-2.1148	-0.6872	2.92384088950351	1
N08158	24	6615362	28758193	232	-6.401	-5.2354	2.28109670096731	1
